consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
upstream_gene_variant,del,->50,93,93,0,93,0,3.89e-02
non_coding_transcript_exon_variant,ins,+11..50,92,92,0,91,1,3.93e-02
splice_acceptor_variant,del,-1,92,92,0,92,0,3.93e-02
3_prime_UTR_variant,ins,+4..10,92,92,0,92,0,3.93e-02
NMD_transcript_variant&frameshift_variant,ins,+4..10,90,90,0,90,0,4.02e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,del,-2,90,90,0,77,13,4.02e-02
NMD_transcript_variant&intron_variant&splice_region_variant,ins,+4..10,90,90,0,63,27,4.02e-02
coding_sequence_variant&splice_donor_variant,del,->50,88,88,0,12,76,4.11e-02
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant,del,-4..10,86,86,0,3,83,4.20e-02
intron_variant&splice_region_variant,del,-1,85,85,0,81,4,4.25e-02
NMD_transcript_variant&frameshift_variant&splice_region_variant,del,-1,83,83,0,83,0,4.35e-02
NMD_transcript_variant&inframe_deletion,del,-4..10,83,83,0,83,0,4.35e-02
5_prime_UTR_variant,del,-3,81,81,0,81,0,4.45e-02
intron_variant&non_coding_transcript_variant,mnv,0,80,80,0,80,0,4.51e-02
5_prime_UTR_variant,del,-2,79,79,0,79,0,4.56e-02
stop_retained_variant,snv,0,78,78,0,78,0,4.62e-02
NMD_transcript_variant&intron_variant&splice_donor_region_variant,del,-1,78,78,0,78,0,4.62e-02
frameshift_variant&splice_region_variant,del,-2,76,76,0,76,0,4.74e-02
intron_variant&splice_region_variant,del,-2,76,76,0,22,54,4.74e-02
frameshift_variant&splice_region_variant,del,-4..10,73,73,0,21,52,4.93e-02
coding_sequence_variant&intron_variant&splice_acceptor_variant,del,-4..10,73,73,0,0,73,4.93e-02
intron_variant&splice_donor_region_variant,del,-2,71,71,0,54,17,5.06e-02
intron_variant&splice_region_variant,mnv,0,70,70,0,70,0,5.13e-02
intron_variant&non_coding_transcript_variant,ins,+2,70,70,0,70,0,5.13e-02
coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,70,70,0,0,70,5.13e-02
5_prime_UTR_variant,del,-4..10,69,69,0,69,0,5.21e-02
5_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,snv,0,68,68,0,68,0,5.28e-02
intron_variant&splice_donor_region_variant&splice_donor_variant,del,-4..10,68,68,0,0,68,5.28e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+1,68,68,0,68,0,5.28e-02
